barrage	keyword
草衣就是吉利服吗	防具
草衣在手，天下我有	防具
每次穿上草衣都死的很快	防具
主播穿一个青青的草衣吧	防具
从来没捡过草衣	防具
草衣都靠抢	防具
草衣一般在空投里面	防具
有人在房区搜到草衣吗	防具
在急救包可以增加在信号区的停留时间吗	药品
残血时队友只给姨妈巾怎么办？	药品
姨妈巾是指绷带还是急救包呢？	药品
有人在河里扔过急救包吗	药品
大包多囤几个嘛	药品
大包，多多益善	药品
各位队友多囤几个大包给主播	药品
有超级姨妈巾	药品
大包在手，再也不怕刚枪	药品
姨妈巾！！！	药品
打绷带可以增加信号时间吗	药品
姨妈巾没用	药品
姨妈巾别捡	药品
绷带捡了了也没用	药品
绷带没用？	药品
小学生问下为啥绷带叫姨妈巾	药品
有奖竞猜：血量超过多少不能用姨妈巾？	药品
小绷带是姨妈巾，那小包是什么	药品
好像很少遇到肾上腺素	药品
肾上腺素补的能量最多吗	药品
饮料和肾上腺素多多益善	药品
拿个补肾素	药品
主播，肾上腺素是不是补肾的	药品
各位胸弟，你们补肾用肾上腺素吗	药品
生物老湿说，肾上腺素能让人更具能量哟	药品
肾上腺素来一个	药品
来一针激素	药品
笔记本电脑！	药品
笔记本电脑拿了吗	药品
我最喜欢医疗箱	药品
感觉医疗箱不好找。。。	药品
医疗箱干嘛整的和电脑一样	药品
医疗箱是保命神器	药品
多给主播捡几个医疗箱	药品
笔记本用了直接满血吗	药品
医疗箱好还是急救包好	药品
我不捡可乐，可乐杀精	药品
可乐是什么？不是能量饮料吗？	药品
主播别喝可乐呀，杀精	药品
可乐和止痛药有什么区别？	药品
肥宅水现在是不是可以添加信号时间？	药品
肥仔水	药品
那是红牛不是可乐	药品
可乐不好，明明是红牛	药品
男人喝了红牛可以持久吗	药品
红牛就是能量饮料吗	药品
男人喝了红牛可以持久吗	药品
红牛会杀精吗	药品
红牛喝了可以增加在圈外的时间吗	药品
多喝几个红牛	药品
我不捡可乐，可乐杀精	药品
一直不知道喝饮料可以回血的	药品
那明明是肥仔水好吗	药品
红牛，男人持续的动力	药品
专业医疗兵	药品
在线培训医疗兵	药品
医疗兵在线教程	药品
论一名医疗兵的自我修养	药品
最佳医疗兵哈哈	药品
开个医院做大夫吧	药品
我的原则是，永不救人	药品
救人？宁我负天下人，休将天下人负我	药品
别救人，舔他的包	药品
别救，果断卖	药品
救人赶紧	药品
赶紧救人啊	药品
先别救人	药品
扔个烟雾弹再救人	药品
封烟救人	药品
打包来人	药品
宁为玉碎，绝不打包？	药品
打包时来人怎么办？	药品
如何避免打包时来人？	药品
趴下打包	药品
到安全的地方打包	药品
主播穿个骚骚的背心呗	防具
不要防弹衣，穿个背心能吃鸡吗？	防具
一个背心能横着走吗	防具
一个背心横行天下？	防具
我喜欢穿背心	防具
穿背心感觉好屌丝	防具
穿个背心好搞笑	防具
主播穿个背心呗	防具
我发现职业选手带的子弹都特别少	子弹类
子弹袋 收米	子弹类
子弹要多一点	子弹类
子弹每秒800米	子弹类
在急救包可以增加在信号区的停留时间吗	背包
残血时队友只给姨妈巾怎么办？	背包
姨妈巾是指绷带还是急救包呢？	背包
有人在河里扔过急救包吗	背包
大包多囤几个嘛	背包
大包，多多益善	背包
各位队友多囤几个大包给主播	背包
有超级姨妈巾	背包
大包在手，再也不怕刚枪	背包
姨妈巾！！！	背包
打绷带可以增加信号时间吗	背包
姨妈巾没用	背包
姨妈巾别捡	背包
绷带捡了了也没用	背包
绷带没用？	背包
小学生问下为啥绷带叫姨妈巾	背包
有奖竞猜：血量超过多少不能用姨妈巾？	背包
小绷带是姨妈巾，那小包是什么	背包
主播倍镜是习惯用红点还是全息	附加武器
你们喜欢3倍镜还是4倍镜	附加武器
不用倍镜啦，机瞄才考验真本事	附加武器
全用机瞄好了，有倍镜贼烦	附加武器
4倍镜连狙不好用	附加武器
别老用红点，远距离m4切高倍镜	附加武器
倍镜开镜调节成蓝色怎么搞的	附加武器
霸占M城高点	地点
M城的人接客了	地点
大战全在M城	地点
M城那个养老院位置。真的很肥 基本会出信号枪	地点
霸占M城高点	地点
M城的人接客了	地点
大战全在M城	地点
M城那个养老院位置。真的很肥 基本会出信号枪	地点
渔村好穷啊	地点
主播你可以在渔村蹲会	地点
就在这里苟吧	地点
我最喜欢在渔村埋伏	地点
渔村咸鱼？	地点
那我们去机场....旁边的小渔村	地点
我在机场高架一枪打死圣山的我说什么了，我骄傲了么	地点
我玩csgo一狙打到圣山我骄傲了？	地点
圣山，光明顶，龙景山哪个更高丫？	地点
从圣山绕过来 真的牛批	地点
我在圣山山顶打的	地点
军事基地刚枪？	地点
每次到军事基地都好害怕	地点
军事基地很肥	地点
听听军事基地有几个人	地点
多捡点信号弹，把车全打出来，其他地方的人就叫不了车	陆地载具
响度均衡打开，上车要关声音，不然什么都听不到，全是车声	陆地载具
是车先动手的	陆地载具
别把车打坏了，不然一会跑到累死	陆地载具
下车！快递	陆地载具
是车先动手的	陆地载具
